epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,10886.7,0.551,0.30622,0.97057,0.9974,1,0.995,0.93111,0.39766,0.20861,0.85351,0.005644,0.005644,0.005644
46,11175.1,0.54554,0.30271,0.96424,0.99598,1,0.995,0.9197,0.41281,0.21731,0.85906,0.005545,0.005545,0.005545
47,11384.8,0.5603,0.31078,0.97304,0.9963,1,0.995,0.92647,0.41467,0.22276,0.8588,0.005446,0.005446,0.005446
48,11709.1,0.54768,0.30466,0.96865,0.99608,1,0.995,0.93296,0.40382,0.21624,0.84748,0.005347,0.005347,0.005347
49,11973.3,0.53702,0.29742,0.95816,0.99592,1,0.995,0.92242,0.40322,0.21271,0.8467,0.005248,0.005248,0.005248
50,12222.8,0.54628,0.30189,0.95956,0.99202,1,0.995,0.92607,0.39373,0.21449,0.84855,0.005149,0.005149,0.005149
51,12414,0.52885,0.29974,0.95769,0.99634,1,0.995,0.93226,0.3999,0.21715,0.84751,0.00505,0.00505,0.00505
52,12665.1,0.53465,0.2982,0.95806,0.99575,1,0.995,0.93551,0.38563,0.20663,0.84211,0.004951,0.004951,0.004951
53,12862.2,0.5283,0.28862,0.95935,0.99149,1,0.995,0.92893,0.38811,0.20199,0.84494,0.004852,0.004852,0.004852
54,13143,0.52707,0.29348,0.95837,0.99469,1,0.995,0.93223,0.38238,0.19723,0.84758,0.004753,0.004753,0.004753
55,13378.4,0.51314,0.28193,0.95031,0.99632,1,0.995,0.93084,0.37897,0.199,0.84067,0.004654,0.004654,0.004654
56,13659.3,0.52464,0.28226,0.95657,0.99551,1,0.995,0.93258,0.38649,0.19614,0.84588,0.004555,0.004555,0.004555
57,13863.6,0.51363,0.27798,0.94782,0.99544,1,0.995,0.93614,0.38179,0.1963,0.8426,0.004456,0.004456,0.004456
58,14134.1,0.51596,0.27516,0.95354,0.99603,1,0.995,0.93709,0.36875,0.1935,0.83833,0.004357,0.004357,0.004357
59,14334.9,0.50673,0.27819,0.95255,0.99494,1,0.995,0.93288,0.38448,0.20476,0.84082,0.004258,0.004258,0.004258
60,14572.6,0.50806,0.27625,0.94519,0.99856,1,0.995,0.93898,0.3904,0.19423,0.84466,0.004159,0.004159,0.004159
61,14781.5,0.50237,0.27249,0.95249,0.99747,1,0.995,0.93812,0.38212,0.19464,0.8414,0.00406,0.00406,0.00406
62,15027.4,0.49809,0.26962,0.94277,0.99805,1,0.995,0.93537,0.38328,0.20051,0.84319,0.003961,0.003961,0.003961
63,15269.6,0.50252,0.27474,0.94387,0.99637,1,0.995,0.9357,0.37118,0.19373,0.83699,0.003862,0.003862,0.003862
64,15511.2,0.50388,0.27037,0.94098,0.99772,1,0.995,0.93156,0.37471,0.18861,0.84046,0.003763,0.003763,0.003763
65,15719,0.49422,0.26313,0.9411,0.99723,1,0.995,0.93818,0.37859,0.19102,0.84035,0.003664,0.003664,0.003664
66,15974.1,0.4981,0.26821,0.9439,0.99857,1,0.995,0.94227,0.36747,0.18231,0.83428,0.003565,0.003565,0.003565
67,16167,0.49774,0.26761,0.93931,0.9964,1,0.995,0.93247,0.37603,0.18692,0.83809,0.003466,0.003466,0.003466
68,16441.2,0.4963,0.26437,0.9427,0.99788,1,0.995,0.95025,0.36499,0.18451,0.83261,0.003367,0.003367,0.003367
69,16652.2,0.48839,0.25978,0.94458,0.99653,1,0.995,0.94571,0.36519,0.18215,0.83063,0.003268,0.003268,0.003268
70,16866.7,0.49006,0.26099,0.94648,0.99802,1,0.995,0.941,0.37176,0.18289,0.83647,0.003169,0.003169,0.003169
71,17076.9,0.48878,0.25799,0.93559,0.9979,1,0.995,0.9398,0.36181,0.1744,0.83375,0.00307,0.00307,0.00307
72,17310.4,0.48128,0.25314,0.93907,0.9993,1,0.995,0.94432,0.36082,0.17585,0.83066,0.002971,0.002971,0.002971
73,17556.8,0.47316,0.25096,0.92406,0.99659,1,0.995,0.94004,0.37537,0.18079,0.83631,0.002872,0.002872,0.002872
74,17781.4,0.48245,0.25223,0.94409,0.99741,1,0.995,0.93998,0.3692,0.18003,0.83444,0.002773,0.002773,0.002773
75,17992.4,0.49009,0.25507,0.94338,0.99756,1,0.995,0.94205,0.36109,0.17021,0.83346,0.002674,0.002674,0.002674
76,18256.4,0.46694,0.2479,0.93311,0.99709,1,0.995,0.94679,0.34792,0.16756,0.8287,0.002575,0.002575,0.002575
77,18441.3,0.46811,0.25054,0.92962,0.99762,1,0.995,0.94407,0.35641,0.17124,0.82959,0.002476,0.002476,0.002476
78,18721.2,0.47884,0.25188,0.9338,0.99802,1,0.995,0.94324,0.35919,0.16854,0.83177,0.002377,0.002377,0.002377
79,18937.4,0.47368,0.24779,0.93798,0.99728,1,0.995,0.94613,0.35768,0.16932,0.83251,0.002278,0.002278,0.002278
80,19168.9,0.46473,0.23952,0.92283,0.99809,1,0.995,0.94336,0.34625,0.16713,0.82814,0.002179,0.002179,0.002179
81,19355.7,0.45633,0.23618,0.92664,0.99806,1,0.995,0.94122,0.35454,0.16106,0.83062,0.00208,0.00208,0.00208
82,19587.9,0.46082,0.24065,0.92053,0.99815,1,0.995,0.94734,0.34502,0.16504,0.82726,0.001981,0.001981,0.001981
83,19835.3,0.4679,0.23915,0.92654,0.99813,1,0.995,0.94703,0.34879,0.16513,0.8289,0.001882,0.001882,0.001882
84,20129.2,0.46721,0.23979,0.93263,0.99663,0.9998,0.995,0.95165,0.34234,0.162,0.82666,0.001783,0.001783,0.001783
85,20306.4,0.46397,0.23838,0.92391,0.99792,1,0.995,0.95025,0.34066,0.16023,0.82755,0.001684,0.001684,0.001684
86,20585.5,0.45897,0.23296,0.92701,0.99782,1,0.995,0.94533,0.33968,0.15785,0.82701,0.001585,0.001585,0.001585
87,20777.1,0.46085,0.2321,0.92585,0.99779,1,0.995,0.94724,0.35058,0.1582,0.82804,0.001486,0.001486,0.001486
88,21037.8,0.45718,0.23108,0.92378,0.99836,1,0.995,0.94636,0.33939,0.15741,0.82633,0.001387,0.001387,0.001387
89,21246.8,0.43637,0.22365,0.91861,0.99812,1,0.995,0.94985,0.33719,0.15508,0.82235,0.001288,0.001288,0.001288
90,21451.1,0.4443,0.22604,0.9185,0.99799,1,0.995,0.94853,0.33646,0.15418,0.82276,0.001189,0.001189,0.001189
91,21663.2,0.35994,0.17475,0.83242,0.99788,1,0.995,0.94865,0.33845,0.16249,0.82388,0.00109,0.00109,0.00109
92,21942.7,0.35692,0.17162,0.82962,0.99683,1,0.995,0.95124,0.33306,0.15856,0.82296,0.000991,0.000991,0.000991
93,22133.6,0.35014,0.1694,0.83434,0.99787,1,0.995,0.95142,0.33172,0.15802,0.82166,0.000892,0.000892,0.000892
94,22363.2,0.34843,0.16508,0.83352,0.99777,1,0.995,0.95069,0.33049,0.15967,0.81891,0.000793,0.000793,0.000793
95,22603.9,0.34358,0.16243,0.8212,0.99936,1,0.995,0.94934,0.33331,0.15587,0.8215,0.000694,0.000694,0.000694
96,22836.8,0.34259,0.16288,0.82526,0.9994,1,0.995,0.94857,0.32702,0.15379,0.82136,0.000595,0.000595,0.000595
97,23046.9,0.34303,0.16042,0.8232,0.99884,1,0.995,0.94925,0.33471,0.1561,0.82215,0.000496,0.000496,0.000496
98,23255.6,0.3361,0.15825,0.82113,0.99932,1,0.995,0.95042,0.33262,0.1549,0.82099,0.000397,0.000397,0.000397
99,23442.4,0.33564,0.15661,0.82323,0.99885,1,0.995,0.95044,0.32477,0.15213,0.81988,0.000298,0.000298,0.000298
100,23744.2,0.3331,0.15376,0.82414,0.99893,1,0.995,0.94922,0.3259,0.14974,0.8199,0.000199,0.000199,0.000199
