epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.578,0.72167,2.2602,1.08438,0.9861,1,0.99487,0.87774,0.52172,0.34349,0.91172,0.00330556,0.00330556,0.07025
2,376.317,0.71585,0.60057,1.03925,0.97953,0.99156,0.99088,0.84316,0.5972,0.4521,0.93506,0.00657316,0.00657316,0.0401843
3,610.1,0.79134,0.68428,1.07048,0.9235,0.91187,0.97002,0.73991,0.80282,0.72907,1.12463,0.00977477,0.00977477,0.0100526
4,868.404,0.86612,0.68797,1.1136,0.92356,0.90564,0.95445,0.76727,0.76278,1.07226,1.07711,0.009703,0.009703,0.009703
5,1090.68,0.82908,0.63086,1.09475,0.85958,0.95635,0.96944,0.82165,0.65425,0.9159,0.99021,0.009604,0.009604,0.009604
6,1346.47,0.78687,0.56031,1.06873,0.91669,0.98374,0.98184,0.81721,0.67188,1.12477,1.0089,0.009505,0.009505,0.009505
7,1535.21,0.7835,0.5447,1.06917,0.83498,0.76296,0.86889,0.6926,0.65917,1.28241,0.99027,0.009406,0.009406,0.009406
8,1760.65,0.75404,0.51317,1.0635,0.9513,0.98765,0.9791,0.84715,0.58242,0.65319,0.93292,0.009307,0.009307,0.009307
9,1957.48,0.75443,0.49245,1.0638,0.97272,0.99431,0.99424,0.87206,0.5455,0.36895,0.91045,0.009208,0.009208,0.009208
10,2195,0.73413,0.4774,1.04097,0.99639,0.99825,0.995,0.87488,0.54466,0.34542,0.90018,0.009109,0.009109,0.009109
11,2435.95,0.71711,0.46974,1.04045,0.98424,0.99578,0.99048,0.87868,0.52502,0.35721,0.89683,0.00901,0.00901,0.00901
12,2674.74,0.69827,0.44904,1.02871,0.99816,1,0.995,0.89442,0.49336,0.31438,0.86812,0.008911,0.008911,0.008911
13,2865.4,0.69413,0.44943,1.03741,0.87316,0.94499,0.97392,0.8636,0.52585,0.96628,0.91179,0.008812,0.008812,0.008812
14,3093.2,0.69381,0.43311,1.03143,0.99858,1,0.995,0.90378,0.45134,0.28798,0.85203,0.008713,0.008713,0.008713
15,3305.08,0.66655,0.41138,1.01887,0.97891,1,0.99402,0.90129,0.4743,0.60724,0.86991,0.008614,0.008614,0.008614
16,3548.42,0.65193,0.40298,1.00331,0.99634,0.99987,0.995,0.91153,0.45766,0.31548,0.86145,0.008515,0.008515,0.008515
17,3776.53,0.66009,0.40592,1.01063,0.99342,1,0.995,0.89653,0.45483,0.29039,0.86652,0.008416,0.008416,0.008416
18,3979.18,0.64597,0.40351,1.0181,0.99834,1,0.995,0.90468,0.45971,0.29209,0.87711,0.008317,0.008317,0.008317
19,4177.45,0.63136,0.38453,0.99534,0.99889,0.99994,0.995,0.89863,0.45567,0.28295,0.85838,0.008218,0.008218,0.008218
20,4416.54,0.64147,0.39144,1.01216,0.99479,1,0.995,0.9098,0.44516,0.27393,0.86096,0.008119,0.008119,0.008119
21,4585.78,0.63489,0.38316,1.00793,0.99826,1,0.995,0.91103,0.44431,0.25735,0.85384,0.00802,0.00802,0.00802
22,4791.53,0.62348,0.3777,0.99445,0.99599,1,0.995,0.91473,0.44707,0.28745,0.84534,0.007921,0.007921,0.007921
23,4994.79,0.63302,0.37714,0.99319,0.99691,1,0.995,0.91768,0.43217,0.26789,0.84737,0.007822,0.007822,0.007822
