epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,12099.2,0.53045,0.28865,0.96921,0.99816,1,0.995,0.93471,0.39592,0.20384,0.84873,0.005743,0.005743,0.005743
45,12357.8,0.52528,0.29103,0.9622,0.99862,1,0.995,0.93145,0.42411,0.21072,0.88691,0.005644,0.005644,0.005644
46,12665.8,0.5285,0.29339,0.97641,0.99829,1,0.995,0.94457,0.37046,0.19498,0.8402,0.005545,0.005545,0.005545
47,12925.2,0.52056,0.28154,0.9609,0.99826,1,0.995,0.93638,0.38912,0.19559,0.85268,0.005446,0.005446,0.005446
48,13235.5,0.50997,0.28301,0.95693,0.99856,1,0.995,0.93798,0.38007,0.19435,0.83975,0.005347,0.005347,0.005347
49,13492.8,0.51158,0.27894,0.96078,0.9984,1,0.995,0.9402,0.37842,0.19298,0.84453,0.005248,0.005248,0.005248
50,13802.8,0.50974,0.27948,0.95568,0.99816,0.99511,0.99497,0.94667,0.37827,0.19666,0.84058,0.005149,0.005149,0.005149
51,14051.5,0.51038,0.2853,0.95952,0.99846,1,0.995,0.94621,0.37282,0.19252,0.84049,0.00505,0.00505,0.00505
52,14365.8,0.50988,0.27365,0.95486,0.99832,1,0.995,0.94475,0.37654,0.18886,0.85086,0.004951,0.004951,0.004951
53,14623.2,0.50644,0.27666,0.95396,0.99563,0.99728,0.99497,0.94357,0.37446,0.18758,0.84393,0.004852,0.004852,0.004852
54,14933.1,0.50463,0.27124,0.95773,0.99832,1,0.995,0.94165,0.37552,0.18767,0.84319,0.004753,0.004753,0.004753
55,15191.5,0.4986,0.26852,0.9505,0.99834,1,0.995,0.94383,0.3775,0.18142,0.8472,0.004654,0.004654,0.004654
56,15505.4,0.49595,0.26774,0.95062,0.99828,1,0.995,0.95028,0.37365,0.18982,0.84436,0.004555,0.004555,0.004555
57,15801.1,0.49385,0.264,0.9503,0.99835,1,0.995,0.94286,0.38394,0.18101,0.85236,0.004456,0.004456,0.004456
58,16120.2,0.50322,0.27143,0.95241,0.99861,1,0.995,0.94619,0.37547,0.18344,0.84242,0.004357,0.004357,0.004357
59,16410.1,0.49019,0.26334,0.94333,0.99842,1,0.995,0.94817,0.3726,0.18326,0.84093,0.004258,0.004258,0.004258
60,16741.2,0.49225,0.26185,0.94571,0.99886,1,0.995,0.94332,0.38322,0.18637,0.8514,0.004159,0.004159,0.004159
61,17010,0.49075,0.26514,0.94572,0.99801,1,0.995,0.94906,0.37427,0.18325,0.84422,0.00406,0.00406,0.00406
62,17345.4,0.49134,0.26117,0.95139,0.99845,1,0.995,0.94842,0.36087,0.17909,0.83555,0.003961,0.003961,0.003961
63,17613.1,0.48127,0.25858,0.94255,0.99829,1,0.995,0.94483,0.36518,0.18227,0.83984,0.003862,0.003862,0.003862
64,17945.2,0.48465,0.25813,0.94939,0.99813,1,0.995,0.94897,0.36582,0.17606,0.83978,0.003763,0.003763,0.003763
65,18211.2,0.47442,0.25376,0.93887,0.99852,1,0.995,0.95203,0.36266,0.16843,0.83357,0.003664,0.003664,0.003664
66,18543.4,0.47064,0.24866,0.94286,0.99853,1,0.995,0.95089,0.34908,0.16701,0.83145,0.003565,0.003565,0.003565
67,18808.6,0.4673,0.24707,0.93487,0.99864,1,0.995,0.94971,0.35603,0.16924,0.83453,0.003466,0.003466,0.003466
68,19139.8,0.47319,0.24953,0.93473,0.99863,1,0.995,0.94985,0.35991,0.17292,0.83496,0.003367,0.003367,0.003367
69,19408.2,0.47788,0.24744,0.93862,0.99873,1,0.995,0.94835,0.36396,0.17314,0.83676,0.003268,0.003268,0.003268
70,19744.3,0.46183,0.2408,0.9347,0.99844,1,0.995,0.94894,0.35856,0.16631,0.83789,0.003169,0.003169,0.003169
71,20073.4,0.46011,0.24138,0.92955,0.99878,1,0.995,0.95012,0.3596,0.16616,0.83816,0.00307,0.00307,0.00307
72,20404.6,0.48145,0.24739,0.94808,0.99847,1,0.995,0.94801,0.36552,0.17388,0.83638,0.002971,0.002971,0.002971
73,20673.8,0.46304,0.24083,0.92881,0.99867,1,0.995,0.9489,0.35676,0.16763,0.83073,0.002872,0.002872,0.002872
74,21003.4,0.4607,0.23529,0.93666,0.9994,1,0.995,0.94948,0.35408,0.16443,0.83484,0.002773,0.002773,0.002773
75,21387.1,0.46083,0.23416,0.93564,0.99882,1,0.995,0.94795,0.35928,0.16496,0.82955,0.002674,0.002674,0.002674
76,21757,0.45375,0.23421,0.93187,0.99894,1,0.995,0.9535,0.35284,0.16292,0.82981,0.002575,0.002575,0.002575
77,22025,0.45301,0.23483,0.92584,0.99849,1,0.995,0.95116,0.3531,0.1591,0.82851,0.002476,0.002476,0.002476
78,22360.2,0.45021,0.22962,0.92608,0.99907,1,0.995,0.9529,0.34642,0.15811,0.82271,0.002377,0.002377,0.002377
